district,state,area
East Khasi Hills,Meghalaya,2813624719
East Siang,Arunachal Pradesh,3727909867
East,Delhi,68241619.22
Ernakulam,Kerala,3038371957
Erode,Tamil Nadu,5990156818
Etah,Uttar Pradesh,2214013245
Etawah,Uttar Pradesh,2327418904
Faizabad,Uttar Pradesh,2689320614
Faridabad,Haryana,726198327.7
Faridkot,Punjab,1476558097
Farrukhabad,Uttar Pradesh,2181509263
Fatehabad,Haryana,2528742835
Fatehgarh Sahib,Punjab,1054760478
Fatehpur,Uttar Pradesh,4170086322
Firozabad,Uttar Pradesh,2420418482
Firozpur,Punjab,5287570718
Gadag,Karnataka,4658395450
Gadchiroli,Maharashtra,14530183961
Gajapati,Odisha,4124937664
Ganderbal,Jammu & Kashmir,1261971710
Gandhinagar,Gujarat,2138519483
Ganganagar,Rajasthan,10917836190
Ganjam,Odisha,8369374481
Garhwa,Jharkhand,4085742120
Garhwal,Uttarakhand,5281569221
Gautam Buddha Nagar,Uttar Pradesh,1414362207
Gaya,Bihar,4969748137
Ghaziabad,Uttar Pradesh,2028921007
Ghazipur,Uttar Pradesh,3381095458
Giridih,Jharkhand,4968627882
Goalpara,Assam,1979175587
Godda,Jharkhand,2262698783
Golaghat,Assam,3523944928
Gonda,Uttar Pradesh,3982088561
Gondiya,Maharashtra,5298503222
Gopalganj,Bihar,2039676064
Gorakhpur,Uttar Pradesh,3330489123
Gulbarga,Karnataka,10958181314
Gumla,Jharkhand,5358074166
Guna,Madhya Pradesh,6383161750
Guntur,Andhra Pradesh,11402542863
Gurdaspur,Punjab,3547080154
Gurgaon,Haryana,1248156314
Gwalior,Madhya Pradesh,4564204797
Hailakandi,Assam,1329404369
Hamirpur,Himanchal Pradesh,1115942913
Hamirpur,Uttar Pradesh,4089383178
Hanumangarh,Rajasthan,9706164192
Haora,West Bengal,1396562360
Harda,Madhya Pradesh,3336891940
Hardoi,Uttar Pradesh,5989449268
Hardwar,Uttarakhand,2290658914
Hassan,Karnataka,6814864699
Haveri,Karnataka,4823995660
Hazaribagh,Jharkhand,3922479262
Hingoli,Maharashtra,4891944907
Hisar,Haryana,4075490790
Hoshangabad,Madhya Pradesh,6687382173
Hoshiarpur,Punjab,3382798206
Hugli,West Bengal,3138373476
Hyderabad,Telangana,191465698.9
Idukki,Kerala,4360145064
Imphal East,Manipur,727898935.7
Imphal West,Manipur,487612398.2
Indore,Madhya Pradesh,3910743818
Jabalpur,Madhya Pradesh,5097816500
Jagatsinghapur,Odisha,1737584986
Jaintia Hills,Meghalaya,3818256233
Jaipur,Rajasthan,11142230766
Jaisalmer,Rajasthan,38372833983
Jajapur,Odisha,2897046045
Jalandhar,Punjab,2640900727
Jalaun,Uttar Pradesh,4564788092
Jalgaon,Maharashtra,11754442691
Jalna,Maharashtra,7366488372
Jalor,Rajasthan,10645683379
Jalpaiguri,West Bengal,6227419165
Jammu,Jammu & Kashmir,2147490492
Jamnagar,Gujarat,10800973140
Jamtara,Jharkhand,1815483934
Jamui,Bihar,3100952342
Janjgir - Champa,Chhattisgarh,3863306222
Jashpur,Chhattisgarh,5850597495
Jaunpur,Uttar Pradesh,4035017663
Jehanabad,Bihar,1056260888
Jhabua,Madhya Pradesh,3444299961
Jhajjar,Haryana,1822137440
Jhalawar,Rajasthan,6342041951
Jhansi,Uttar Pradesh,5081431619
Jharsuguda,Odisha,2077444451
Jhunjhunun,Rajasthan,5917719082
Jind,Haryana,2765911268
Jodhpur,Rajasthan,22684608489
Jorhat,Assam,2835522501
Junagadh,Gujarat,8823493878
Jyotiba Phule Nagar,Uttar Pradesh,2125740056
Kabirdham,Chhattisgarh,4197710864
Kachchh,Gujarat,42516101086
Kaimur (Bhabua),Bihar,3369068347
Kaithal,Haryana,2298122576
Kalahandi,Odisha,7903076765
Kamrup Metropolitan,Assam,1184015502
Kamrup,Assam,2911781933
Kancheepuram,Tamil Nadu,4452565105
Kandhamal,Odisha,8021282242
Kangra,Himanchal Pradesh,5740934331
Kannauj,Uttar Pradesh,2090574569
Kanniyakumari,Tamil Nadu,1684459706
Kannur,Kerala,2950063197
Kanpur Dehat,Uttar Pradesh,3158250101
Kanpur Nagar,Uttar Pradesh,2999847051
Kanshiram Nagar,Uttar Pradesh,2169170538
Kapurthala,Punjab,1631469656
Karaikal,Puducherry,158126410.1
Karauli,Rajasthan,5021753772
Karbi Anglong,Assam,10398872832
Kargil,Jammu & Kashmir,14643834141
Karimganj,Assam,1869147174
Karimnagar,Telangana,11843778699
Karnal,Haryana,2455283336
Karur,Tamil Nadu,2903312073
Kasaragod,Kerala,1985366466
Kathua,Jammu & Kashmir,2737778059
Katihar,Bihar,3038319876
Katni,Madhya Pradesh,5071882198
Kaushambi,Uttar Pradesh,1790191499
Kendrapara,Odisha,2505243420
Kendujhar,Odisha,8315011849
Khagaria,Bihar,1493304160
Khammam,Telangana,15979534108
Khandwa (East Nimar),Madhya Pradesh,7478406613
Khargone (West Nimar),Madhya Pradesh,8022302171
Kheda,Gujarat,3954361606
Kheri,Uttar Pradesh,7651086851
Khordha,Odisha,2890213715
Khunti,Jharkhand,2628610491
Kinnaur,Himanchal Pradesh,6151189612
Kiphire,Nagaland,1361504029
Kishanganj,Bihar,1975491345
Kishtwar,Jammu & Kashmir,7714902461
Koch Bihar,West Bengal,3423162405
Kodagu,Karnataka,4110214632
Kodarma,Jharkhand,2122778385
Kohima,Nagaland,1255118266
Kokrajhar,Assam,3137086645
Kolar,Karnataka,3979539686
Kolasib,Mizoram,1594447107
Kolhapur,Maharashtra,7680466658
Kolkata,West Bengal,207211206.9
Kollam,Kerala,2452372218
Koppal,Karnataka,5570731871
Koraput,Odisha,8364220741
Korba,Chhattisgarh,6607030500
Korea (Koriya),Chhattisgarh,6611547706
Kota,Rajasthan,5118330492
Kottayam,Kerala,2205000264
Kozhikode,Kerala,2334184768
Krishna,Andhra Pradesh,8751053721
Krishnagiri,Tamil Nadu,5128699558
Kulgam,Jammu & Kashmir,1343346769
Kullu,Himanchal Pradesh,5488528050
Kupwara,Jammu & Kashmir,2613359345
Kurnool,Andhra Pradesh,17668811589
Kurukshetra,Haryana,1680113277
Kurung Kumey,Arunachal Pradesh,6508515501
Kushinagar,Uttar Pradesh,2876149660
Lahul and Spiti,Himanchal Pradesh,13568142742
Lakhimpur,Assam,2998720298
Lakhisarai,Bihar,1217784644
Lakshadweep,Lakshadweep,54306624.23
Lalitpur,Uttar Pradesh,5046444275
