GIS_ST_NAME,GIS_ST_ABBR,GIS_PC_NAME,ST_CODE,PC_CODE,PC_ID,DISTRICT,GIS_Dist_code,AREA_GEO,Tot_area,Pct_Area,POP,Tot_pop,Pct_pop
NCT of Delhi,DL,East Delhi,U05,3,U05_3,Central,95,2.4536325,15.09764535,0.162517561,12974.6824,366217.9999,0.035428849
NCT of Delhi,DL,New Delhi,U05,4,U05_4,Central,95,6.553351877,15.09764535,0.4340645,181516.395,366217.9999,0.495651211
NCT of Delhi,DL,Chandni Chowk,U05,1,U05_1,West,96,6.614698833,122.0895718,0.054179065,219443.634,2708991.61,0.081005653
NCT of Delhi,DL,Chandni Chowk,U05,1,U05_1,West,96,122.0895718,122.0895718,1,,2708991.61,
NCT of Delhi,DL,Chandni Chowk,U05,1,U05_1,West,96,122.0895718,122.0895718,1,,2708991.61,
NCT of Delhi,DL,New Delhi,U05,4,U05_4,West,96,11.23723736,122.0895718,0.092040927,363120.887,2708991.61,0.134042825
NCT of Delhi,DL,New Delhi,U05,4,U05_4,West,96,122.0895718,122.0895718,1,,2708991.61,
NCT of Delhi,DL,North West Delhi,U05,5,U05_5,West,96,37.79930945,122.0895718,0.309603096,705093.0916,2708991.61,0.260278802
NCT of Delhi,DL,West Delhi,U05,6,U05_6,West,96,66.43831293,122.0895718,0.544176804,1420136.778,2708991.61,0.524230778
NCT of Delhi,DL,West Delhi,U05,6,U05_6,West,96,122.0895718,122.0895718,1,,2708991.61,
NCT of Delhi,DL,New Delhi,U05,4,U05_4,South West,97,81.12912093,434.4164332,0.186754263,1735813.901,3383189.157,0.513070308
NCT of Delhi,DL,West Delhi,U05,6,U05_6,South West,97,313.0603415,434.4164332,0.720645716,1389271.956,3383189.157,0.410639752
NCT of Delhi,DL,South Delhi,U05,7,U05_7,South West,97,40.2269336,434.4164332,0.092599935,242955.6485,3383189.157,0.071812611
NCT of Delhi,DL,East Delhi,U05,3,U05_3,South,98,35.49847673,253.7096414,0.139917729,482006.9104,3002627.665,0.160528365
NCT of Delhi,DL,New Delhi,U05,4,U05_4,South,98,41.35011284,253.7096414,0.162982032,1118115.642,3002627.665,0.372379052
NCT of Delhi,DL,South Delhi,U05,7,U05_7,South,98,176.8610047,253.7096414,0.697100054,1400535.434,3002627.665,0.466436598
Rajasthan,RJ,Ganganagar,S20,1,S20_1,Ganganagar,99,8361.452969,10681.6541,0.782786345,1560962.545,1877162.654,0.83155423
Rajasthan,RJ,Bikaner,S20,2,S20_2,Ganganagar,99,2290.242602,10681.6541,0.214408984,310142.2137,1877162.654,0.165218615
Rajasthan,RJ,Churu,S20,3,S20_3,Ganganagar,99,29.95818791,10681.6541,0.002804639,6003.647821,1877162.654,0.003198257
Rajasthan,RJ,Ganganagar,S20,1,S20_1,Hanumangarh,100,4796.933052,9928.256977,0.483159638,1134200.508,2043175.554,0.555116522
Rajasthan,RJ,Churu,S20,3,S20_3,Hanumangarh,100,5131.32367,9928.256977,0.516840336,908593.6897,2043175.554,0.444696829
Rajasthan,RJ,Ganganagar,S20,1,S20_1,Bikaner,101,85.14258846,30217.89367,0.002817622,10495.38089,2864752.364,0.003663626
Rajasthan,RJ,Nagaur,S20,14,S20_14,Bikaner,101,36.76947586,30217.89367,0.001216811,6456.222494,2864752.364,0.002253676
Rajasthan,RJ,Bikaner,S20,2,S20_2,Bikaner,101,30031.43471,30217.89367,0.993829518,2840967.523,2864752.364,0.991697418
Rajasthan,RJ,Churu,S20,3,S20_3,Bikaner,101,64.54658472,30217.89367,0.002136039,7180.10855,2864752.364,0.002506363
Rajasthan,RJ,Bikaner,S20,2,S20_2,Churu,102,596.5876198,13892.85371,0.04294205,71920.94458,1781657.135,0.040367444
Rajasthan,RJ,Churu,S20,3,S20_3,Churu,102,13296.26587,13892.85371,0.957057934,1710305.143,1781657.135,0.959951895
Rajasthan,RJ,Jhunjhunun,S20,4,S20_4,Jhunjhunun,103,5921.585298,5921.585899,0.999999898,2250213.218,2250213.218,1
Rajasthan,RJ,Dausa,S20,11,S20_11,Alwar,104,1327.143661,8305.270907,0.159795349,554770.2263,3830825.3,0.144817417
Rajasthan,RJ,Jaipur Rural,S20,6,S20_6,Alwar,104,901.4855119,8305.270907,0.108543782,391831.7674,3830825.3,0.102283904
Rajasthan,RJ,Alwar,S20,8,S20_8,Alwar,104,2744.467994,8305.270907,0.330448943,1268776.865,3830825.3,0.331201965
